"user_id","age","employment_type","monthly_income","credit_score","purchase_amount","product_category","bnpl_installments","repayment_delay_days","missed_payments","default_flag","app_usage_frequency","location","transaction_date","debt_to_income_ratio","risk_score","customer_segment"
"5531","25","Self-Employed","9736413","801","50000","Electronics","9","0","0","0","641","USA","12/6/2024","513536145190225","196","Low Risk"
"6542","45","Self-Employed","10706316","826","50000","Beauty","9","5","0","0","751","UK","12/17/2024","467014050397914","196","Low Risk"
"2577","58","Self-Employed","10576939","810","50000","Sports","3","2","0","0","285","India","12/22/2024","472726561058922","200","Low Risk"
"7673","51","Self-Employed","10355746","818","1000","Beauty","6","4","0","0","62","India","4/22/2023","9656474772556","208","Low Risk"
"2276","47","Self-Employed","9910212","821","50000","Electronics","9","5","0","0","706","India","8/6/2024","504530074634124","216","Low Risk"
"1245","42","Self-Employed","10273224","805","50000","Fashion","12","2","0","0","758","USA","5/24/2023","486702129730647","220","Low Risk"
"4409","56","Self-Employed","9557409","810","50000","Home","12","3","0","0","313","USA","11/27/2024","523154340261047","220","Low Risk"
"6988","57","Self-Employed","1099592","814","50000","Electronics","6","4","0","0","783","Germany","11/29/2024","454714112143413","224","Low Risk"
"6043","43","Self-Employed","9983845","793","50000","Beauty","3","0","0","0","941","India","3/7/2023","500809057031634","228","Low Risk"
"2320","58","Self-Employed","10490042","823","50000","Beauty","6","6","0","0","331","USA","6/27/2023","476642514872676","228","Low Risk"
"1787","54","Salaried","857165","803","50000","Electronics","9","2","0","0","319","Canada","2/27/2023","583318264278172","228","Low Risk"
"3739","48","Self-Employed","12324137","850","1000","Sports","12","2","1","0","411","India","2/9/2023","8114158419368","240","Low Risk"
"1374","30","Self-Employed","9067246","799","50000","Electronics","3","2","0","0","391","India","5/7/2023","551435353138097","244","Low Risk"
"9963","49","Self-Employed","8469212","788","50000","Electronics","12","0","0","0","116","Canada","7/18/2024","590373697104287","248","Low Risk"
"9662","41","Self-Employed","9038547","798","50000","Electronics","9","2","0","0","97","USA","6/13/2023","553186258809076","248","Low Risk"
"2931","44","Self-Employed","9509769","791","50000","Electronics","6","1","0","0","441","USA","5/23/2023","525775126609279","256","Low Risk"
"7255","58","Self-Employed","9522897","791","27876","Electronics","9","1","0","0","296","India","1/22/2023","292726047546245","256","Low Risk"
"6440","54","Salaried","9449504","791","50000","Beauty","9","1","0","0","632","India","4/21/2023","529128301337297","256","Low Risk"
"7709","51","Salaried","8966062","791","50000","Electronics","6","1","0","0","189","Germany","8/14/2024","557658423508559","256","Low Risk"
"6742","59","Self-Employed","11377824","850","50000","Home","12","3","1","0","446","Canada","3/14/2023","439451339728932","260","Low Risk"
"862","59","Self-Employed","12012471","850","50000","Fashion","9","3","1","0","726","Canada","5/20/2023","416234095383039","260","Low Risk"
"6292","53","Self-Employed","911910","794","50000","Electronics","9","2","0","0","714","Canada","6/8/2023","54829972256034","264","Low Risk"
"8988","57","Self-Employed","10587299","804","50000","Beauty","3","4","0","0","222","USA","7/18/2024","472263983476805","264","Low Risk"
"211","47","Self-Employed","8982438","791","50000","Fashion","6","2","0","0","485","India","12/14/2024","556641749155407","276","Low Risk"
"7205","54","Self-Employed","12140812","850","50000","Electronics","9","4","1","0","392","Australia","6/25/2023","411834068429689","280","Low Risk"
"9172","44","Salaried","10299245","830","50000","Beauty","3","0","1","0","896","India","3/2/2023","485472478807912","280","Low Risk"
"9820","51","Salaried","9857196","779","50000","Fashion","6","0","0","0","978","Australia","10/28/2024","507243642106741","284","Low Risk"
"135","56","Self-Employed","9151097","784","50000","Home","3","1","0","0","799","USA","2/15/2023","546382581235889","284","Low Risk"
"5266","54","Unemployed","9753565","779","50000","Sports","6","0","0","0","209","UK","6/25/2023","512633073137873","284","Low Risk"
"5541","31","Self-Employed","10071373","798","50000","Fashion","12","4","0","0","959","USA","8/11/2024","496456640023162","288","Low Risk"
"6930","52","Self-Employed","10119015","806","50000","Fashion","6","6","0","0","386","Australia","1/7/2023","494119239866726","296","Low Risk"
"7314","35","Self-Employed","9788869","781","50000","Beauty","3","1","0","0","858","Australia","5/1/2023","510784238710314","296","Low Risk"
"4821","41","Self-Employed","11750505","850","50000","Fashion","12","5","1","0","111","Germany","12/19/2024","425513626861143","300","Low Risk"
"9564","58","Self-Employed","10237942","795","50000","Fashion","6","4","0","0","731","UK","7/3/2024","488379402813573","300","Low Risk"
"9201","47","Salaried","9505471","784","50000","Fashion","3","2","0","0","414","Australia","5/21/2023","526012861435272","304","Low Risk"
"5821","48","Self-Employed","10269886","799","50000","Beauty","3","5","0","0","366","USA","7/16/2024","486860321526451","304","Low Risk"
"462","35","Self-Employed","10354105","783","50000","Sports","9","2","0","0","557","India","10/29/2024","48290026033153","308","Low Risk"
"1647","53","Salaried","9708385","773","50000","Home","3","0","0","0","757","USA","11/11/2024","515018718355318","308","Low Risk"
"2370","51","Self-Employed","8789219","776","50000","Sports","3","1","0","0","825","UK","12/8/2024","568878759307283","316","Low Risk"
"6350","54","Self-Employed","9586566","775","50000","Home","3","1","0","0","61","Australia","11/14/2024","521563195830498","320","Low Risk"
"7571","33","Self-Employed","8365205","770","50000","Beauty","9","0","0","0","758","Canada","9/9/2024","597713983100234","320","Low Risk"
"9181","48","Self-Employed","8651705","773","50000","Beauty","9","1","0","0","589","Australia","2/1/2023","577920768218518","328","Low Risk"
"6746","55","Self-Employed","9706559","777","50000","Sports","12","2","0","0","775","Germany","6/21/2023","515115603789149","332","Low Risk"
"67","48","Self-Employed","9634488","776","50000","Sports","12","2","0","0","963","USA","9/19/2024","518968937425631","336","Low Risk"
"3003","48","Self-Employed","9511975","764","50000","Fashion","12","0","0","0","77","UK","6/7/2023","525653189794969","344","Low Risk"
"6641","43","Self-Employed","9607514","764","313875","Beauty","12","0","0","0","316","UK","9/10/2024","326697416209854","344","Low Risk"
"9813","38","Self-Employed","9245929","773","50000","Electronics","9","2","0","0","904","USA","4/15/2023","540778541561372","348","Low Risk"
"1748","47","Self-Employed","8577535","767","50000","Electronics","6","1","0","0","326","Canada","5/11/2023","582918052797219","352","Low Risk"
"1889","56","Self-Employed","9702966","761","50000","Fashion","12","0","0","0","608","Australia","4/22/2023","515306350656077","356","Low Risk"
"395","46","Salaried","9001288","760","50000","Beauty","3","0","0","0","62","Canada","11/18/2024","555476060759304","360","Low Risk"
"10321","42","Self-Employed","11691064","850","50000","Sports","9","8","1","0","383","Australia","9/6/2024","427677070282054","360","Low Risk"
"368","41","Self-Employed","9800965","760","50000","Electronics","6","0","0","0","86","Australia","10/27/2024","510153847095668","360","Low Risk"
"58","43","Self-Employed","9175609","760","50000","Fashion","9","0","0","0","13","Australia","7/23/2024","54492295824724","360","Low Risk"
"4772","46","Self-Employed","933981","773","50000","Fashion","6","3","0","0","27","USA","1/18/2023","535342796052596","368","Low Risk"
"1743","42","Salaried","9224767","783","50000","Electronics","9","5","0","0","852","Canada","7/29/2024","542019110076167","368","Low Risk"
"2547","54","Self-Employed","996925","758","50000","Beauty","9","0","0","0","33","Germany","6/7/2023","501542242395365","368","Low Risk"
"2251","41","Self-Employed","9903255","768","50000","Home","3","2","0","0","942","USA","3/27/2023","504884505145025","368","Low Risk"
"214","45","Self-Employed","8569471","757","50000","Beauty","12","0","0","0","598","Australia","10/29/2024","583466587377447","372","Low Risk"
"1157","34","Self-Employed","9032577","761","50000","Sports","9","1","0","0","857","USA","11/15/2024","553551882259071","376","Low Risk"
"5880","53","Self-Employed","12425105","836","50000","Beauty","6","6","1","0","856","India","3/1/2023","402411086264462","376","Low Risk"
"5284","47","Self-Employed","9007499","771","50000","Fashion","6","3","0","0","904","UK","3/2/2023","555093039699477","376","Low Risk"
"3002","57","Self-Employed","11037579","849","50000","Fashion","3","9","1","0","445","UK","8/29/2024","452997890207626","384","Low Risk"
"978","51","Self-Employed","10389773","849","50000","Sports","6","9","1","0","614","USA","2/15/2023","481242467953823","384","Low Risk"
"5491","38","Self-Employed","8758753","753","50000","Home","6","0","0","0","806","Germany","4/22/2023","570857518187805","388","Low Risk"
"2295","33","Self-Employed","9432887","752","50000","Home","9","0","0","0","817","USA","11/14/2024","530060415226006","392","Low Risk"
"2524","56","Salaried","9451938","762","50000","Home","12","2","0","0","519","India","4/13/2023","528992043748065","392","Low Risk"
"996","57","Self-Employed","9627211","756","50000","Home","3","1","0","0","351","India","10/18/2024","519361214790036","396","Low Risk"
"6595","52","Self-Employed","9484149","756","50000","Electronics","9","1","0","0","969","Canada","6/10/2023","527195428920401","396","Low Risk"
"273","39","Self-Employed","965924","821","50000","Home","3","4","1","0","551","Australia","3/15/2023","517639068912254","396","Low Risk"
"3572","51","Self-Employed","10371866","850","50000","Beauty","3","10","1","0","562","UK","10/13/2024","482073331838263","400","Low Risk"
"5182","54","Self-Employed","11420304","850","50000","Electronics","3","10","1","0","361","Germany","11/29/2024","437816716612797","400","Low Risk"
"10187","47","Self-Employed","9800682","769","50000","Electronics","12","4","0","0","426","USA","8/8/2024","510168578064261","404","Low Risk"
"171","43","Self-Employed","891758","769","50000","Beauty","6","4","0","0","194","Germany","3/8/2023","560690232103328","404","Low Risk"
"973","52","Salaried","9509922","764","50000","Fashion","12","3","0","0","112","UK","10/2/2024","525766667697169","404","Low Risk"
"7381","44","Self-Employed","8840892","751","50000","Fashion","12","1","0","0","632","India","9/14/2024","565553792535866","416","Low Risk"
"4169","43","Self-Employed","9042589","761","50000","Electronics","9","3","0","0","734","USA","8/29/2024","5529389868322","416","Low Risk"
"8734","45","Self-Employed","8458381","746","50000","Fashion","3","0","0","0","407","Germany","5/11/2023","59112967363376","416","Low Risk"
"152","50","Salaried","907649","750","50000","Home","6","1","0","0","633","Canada","10/25/2024","550873740840346","420","Low Risk"
"4767","37","Self-Employed","8025445","759","50000","Sports","3","3","0","0","694","Australia","3/2/2023","623018412063131","424","Low Risk"
"6321","51","Self-Employed","9964363","743","50000","Beauty","12","0","0","0","453","USA","9/13/2024","501788222689197","428","Low Risk"
"449","45","Self-Employed","9157836","743","50000","Beauty","9","0","0","0","604","Canada","7/17/2024","545980513300303","428","Low Risk"
"10064","39","Self-Employed","8858475","747","50000","Fashion","6","1","0","0","754","UK","6/23/2023","564431236753504","432","Low Risk"
"3692","57","Self-Employed","9981485","752","50000","Electronics","6","2","0","0","136","Australia","12/7/2024","500927467205531","432","Low Risk"
"3452","54","Self-Employed","11063046","822","50000","Sports","3","6","1","0","349","USA","3/29/2023","451955094464942","432","Low Risk"
"157","42","Self-Employed","9352414","742","1000","Beauty","12","0","0","0","91","Australia","5/3/2023","10692426575641","432","Low Risk"
"9035","54","Self-Employed","8381752","762","50000","Fashion","12","4","0","0","113","India","10/5/2024","596533994324814","432","Low Risk"
"6644","35","Self-Employed","8552033","746","1000","Home","12","1","0","0","271","UK","5/8/2023","11693126067217","436","Low Risk"
"2445","42","Self-Employed","8344955","755","50000","Fashion","3","3","0","0","207","USA","11/16/2024","59916440532034","440","Low Risk"
"6408","54","Self-Employed","12403848","850","50000","Beauty","3","12","1","0","826","USA","2/27/2023","403100715197412","440","Low Risk"
"8491","34","Salaried","7766766","738","50000","Home","12","0","0","0","486","Germany","5/25/2023","64376859042747","448","Low Risk"
"1751","55","Self-Employed","845968","753","50000","Beauty","9","3","0","0","398","Germany","3/4/2023","591038904544852","448","Low Risk"
"4728","51","Salaried","8583401","743","50000","Beauty","3","1","0","0","141","India","4/28/2023","582519679553594","448","Low Risk"
"7947","25","Self-Employed","1074592","813","50000","Electronics","6","5","1","0","145","USA","3/7/2023","465292873946577","448","Low Risk"
"1065","55","Salaried","8642503","738","50000","Electronics","9","0","0","0","609","Germany","8/24/2024","57853610233054","448","Low Risk"
"404","37","Salaried","7995275","747","50000","Home","12","2","0","0","647","USA","5/22/2023","625369358777528","452","Low Risk"
"3149","59","Salaried","9054386","767","50000","Home","3","6","0","0","50","Australia","12/27/2024","552218560154161","452","Low Risk"
"8250","42","Self-Employed","1007516","822","50000","Sports","9","7","1","0","655","India","2/9/2023","496270034421289","452","Low Risk"
"9761","50","Salaried","788691","741","50000","Beauty","9","1","0","0","10","Canada","4/25/2023","633961843104587","456","Low Risk"
"9486","50","Salaried","8390009","736","50000","Home","3","0","0","0","336","Canada","3/2/2023","595946917339421","456","Low Risk"
"5792","47","Self-Employed","13226949","850","50000","Sports","12","13","1","0","863","India","6/25/2023","3780161245046","460","Low Risk"
"3963","57","Self-Employed","11993582","850","50000","Home","3","13","1","0","976","Australia","7/6/2024","41688963313879","460","Low Risk"
"894","46","Self-Employed","11861437","835","50000","Beauty","6","10","1","0","722","UK","7/5/2024","421534085625544","460","Low Risk"
"7100","46","Self-Employed","11385211","840","1000","Electronics","9","11","1","0","649","UK","4/19/2023","8783324261623","460","Low Risk"
"7902","58","Salaried","875985","770","50000","Sports","6","7","0","0","187","India","5/15/2023","570786029441143","460","Low Risk"
"5041","49","Self-Employed","9191242","740","50000","Electronics","6","1","0","0","909","Canada","4/1/2023","543996121525252","460","Low Risk"
"5713","58","Self-Employed","861462","747","50000","Home","6","3","0","0","738","India","12/24/2024","580408654125196","472","Low Risk"
"10127","55","Self-Employed","9265217","747","50000","Electronics","12","3","0","0","823","Canada","9/6/2024","539652767981581","472","Low Risk"
"3977","54","Self-Employed","1195364","850","50000","Fashion","3","14","1","0","545","Canada","12/24/2024","418282631901245","480","Low Risk"
"3579","31","Self-Employed","11660574","850","50000","Beauty","3","14","1","0","771","India","9/16/2024","428795357758546","480","Low Risk"
"691","54","Self-Employed","8819268","743","373112","Home","6","3","0","0","972","Canada","1/7/2023","423064589941024","488","Low Risk"
"6164","30","Self-Employed","8473829","738","50000","Electronics","6","2","0","0","679","UK","10/18/2024","590052029607866","488","Low Risk"
"3403","32","Self-Employed","8233731","733","50000","Beauty","6","1","0","0","343","Germany","9/25/2024","607258119071414","488","Low Risk"
"1936","59","Self-Employed","810021","738","50000","Sports","6","2","0","0","96","USA","7/31/2024","617267947374203","488","Low Risk"
"7432","41","Self-Employed","7796588","727","50000","Sports","3","0","0","0","248","USA","2/15/2023","641306171366243","492","Low Risk"
"7817","28","Self-Employed","8731152","741","50000","Home","9","3","0","0","888","Canada","4/24/2023","572662118355057","496","Low Risk"
"4406","56","Self-Employed","11874708","850","50000","Beauty","3","15","1","0","534","UK","11/29/2024","421062985296143","500","Low Risk"
"4514","59","Self-Employed","13022067","850","50000","Home","6","15","1","0","123","UK","7/12/2024","383963621136337","500","Low Risk"
"408","34","Self-Employed","8672531","745","50000","Sports","12","4","0","0","463","India","9/23/2024","576532963675771","500","Low Risk"
"4812","52","Self-Employed","11864028","850","50000","Sports","12","15","1","0","301","Canada","11/1/2024","42144202626629","500","Low Risk"
"1879","52","Self-Employed","13839412","850","50000","Sports","12","15","1","0","845","Canada","8/3/2024","361287025778262","500","Low Risk"
"3560","43","Self-Employed","13295203","850","50000","Beauty","12","15","1","0","144","Canada","12/22/2024","376075491288098","500","Low Risk"
"5242","49","Salaried","8163743","750","50000","Sports","6","5","0","0","798","India","5/10/2023","612464160128509","500","Low Risk"
"5050","52","Self-Employed","10612259","850","50000","Fashion","12","15","1","0","511","UK","5/27/2023","471153220063701","500","Low Risk"
"5220","38","Self-Employed","11777056","850","50000","Fashion","12","15","1","0","784","Canada","8/20/2024","424554319857186","500","Low Risk"
"509","59","Self-Employed","8654452","733","50000","Home","3","2","0","0","27","Canada","10/9/2024","577737331029162","508","Low Risk"
"573","50","Salaried","8708498","728","1000","Beauty","9","1","0","0","789","Germany","5/8/2023","11483036454736","508","Low Risk"
"114","55","Salaried","8099345","722","50000","Electronics","6","0","0","0","301","Australia","9/6/2024","617333870825356","512","Low Risk"
"7712","47","Salaried","9925501","827","50000","Sports","12","11","1","0","882","Germany","4/22/2023","503752908795233","512","Low Risk"
"5687","35","Salaried","811450","726","50000","Beauty","12","1","0","0","426","Canada","4/21/2023","616180910715386","516","Low Risk"
"4876","37","Self-Employed","8040464","726","50000","Home","12","1","0","0","374","Australia","10/31/2024","621854659134099","516","Low Risk"
"3103","52","Self-Employed","9142009","726","50000","Sports","6","1","0","0","128","India","12/27/2024","54692573590772","516","Low Risk"
"3478","57","Self-Employed","8438967","731","50000","Home","6","2","0","0","929","UK","7/20/2024","59248957840456","516","Low Risk"
"1586","53","Self-Employed","8771141","726","50000","Sports","3","1","0","0","119","Germany","2/27/2023","570051262429825","516","Low Risk"
"944","40","Self-Employed","7774547","721","50000","Home","9","0","0","0","969","India","6/18/2023","643124287498679","516","Low Risk"
"5021","42","Self-Employed","8935034","731","50000","Home","3","2","0","0","793","India","9/1/2024","559594960690692","516","Low Risk"
"7530","26","Self-Employed","11827644","819","50000","Fashion","3","10","1","0","338","India","5/19/2023","422738459155517","524","Low Risk"
"5691","58","Self-Employed","7485512","733","50000","Beauty","9","3","0","0","759","UK","7/5/2024","667956981432933","528","Low Risk"
"603","36","Salaried","7706818","718","50000","Electronics","9","0","0","0","254","Australia","1/27/2023","648776187526421","528","Low Risk"
"2606","58","Self-Employed","8662811","733","50000","Beauty","12","3","0","0","313","Australia","11/18/2024","577179855361036","528","Low Risk"
"10240","42","Self-Employed","8983899","728","50000","Beauty","6","2","0","0","242","Canada","6/10/2023","556551225698329","528","Low Risk"
"2040","33","Self-Employed","8597861","722","50000","Home","12","1","0","0","34","Germany","6/2/2023","58153999000449","532","Low Risk"
"9016","57","Self-Employed","7046297","722","50000","Electronics","12","1","0","0","391","Australia","9/10/2024","709592570395485","532","Low Risk"
"1901","53","Salaried","9025603","716","50000","Home","6","0","0","0","418","USA","5/13/2023","553979606681127","536","Low Risk"
"6684","43","Salaried","8271261","736","50000","Fashion","3","4","0","0","146","Canada","2/16/2023","604502747525437","536","Low Risk"
"5776","42","Self-Employed","8672683","731","50000","Fashion","6","3","0","0","934","Australia","2/7/2023","576522859189019","536","Low Risk"
"6034","50","Self-Employed","821453","716","50000","Beauty","9","0","0","0","416","Canada","1/20/2023","608677550632842","536","Low Risk"
"2171","47","Self-Employed","11060031","836","50000","Beauty","12","14","1","0","135","Germany","11/29/2024","452078298876377","536","Low Risk"
"2883","56","Self-Employed","9133627","725","50000","Fashion","3","2","0","0","691","Canada","6/26/2023","54742765387726","540","Low Risk"
"4247","59","Salaried","8751347","715","50000","Home","9","0","0","0","264","Germany","12/8/2024","571340617621493","540","Low Risk"
"5267","59","Self-Employed","13867469","850","50000","Beauty","9","7","2","0","721","USA","10/2/2024","360556061095215","540","Low Risk"
"9113","36","Self-Employed","12568822","850","50000","Beauty","9","17","1","0","681","India","2/27/2023","397809754963512","540","Low Risk"
"7747","50","Salaried","8167536","723","50000","Electronics","6","2","0","0","398","USA","4/28/2023","61217973205138","548","Low Risk"
"8395","58","Self-Employed","11336537","823","50000","Beauty","6","12","1","0","806","Australia","5/22/2023","441051795623301","548","Low Risk"
"6771","43","Salaried","9274949","728","50000","Beauty","6","3","0","0","209","India","12/14/2024","539086522200822","548","Low Risk"
"1854","45","Self-Employed","11252383","828","50000","Fashion","12","13","1","0","507","UK","3/26/2023","444350321171968","548","Low Risk"
"1989","26","Self-Employed","8071658","733","50000","Electronics","9","4","0","0","793","Australia","7/22/2024","61945141877914","548","Low Risk"
"2173","58","Self-Employed","10187955","798","50000","Beauty","9","7","1","0","858","Australia","10/6/2024","490775626708205","548","Low Risk"
"5781","43","Self-Employed","11418791","822","50000","Beauty","3","12","1","0","603","Canada","9/10/2024","437874727718547","552","Low Risk"
"2777","49","Self-Employed","8191577","712","50000","Home","6","0","0","0","901","Australia","11/28/2024","610383080083358","552","Low Risk"
"6062","55","Self-Employed","7769802","716","50000","Fashion","12","1","0","0","319","USA","3/23/2023","643517042004416","556","Low Risk"
"1600","40","Salaried","10064951","791","50000","Electronics","3","6","1","0","447","Germany","7/19/2024","496773407043909","556","Low Risk"
"7660","59","Self-Employed","7382535","711","50000","Home","12","0","0","0","366","USA","8/28/2024","677274134155815","556","Low Risk"
"9658","51","Self-Employed","11110928","806","50000","Home","3","9","1","0","42","UK","6/27/2023","450007416122217","556","Low Risk"
"10189","56","Self-Employed","8859434","716","50000","Home","6","1","0","0","214","Germany","8/14/2024","564370139221083","556","Low Risk"
"1364","58","Salaried","7638336","720","50000","Home","9","2","0","0","869","Germany","12/26/2024","654592832784522","560","Low Risk"
"2659","53","Self-Employed","9193273","710","50000","Electronics","12","0","0","0","248","Germany","1/30/2023","543875940592648","560","Low Risk"
"9984","43","Self-Employed","7174048","720","50000","Beauty","6","2","0","0","106","UK","11/11/2024","696956585737926","560","Low Risk"
"5686","48","Salaried","7406742","715","50000","Home","6","1","0","0","471","UK","7/21/2024","675060640697353","560","Low Risk"
"6413","44","Salaried","7483983","718","50000","Beauty","12","2","0","0","392","USA","10/13/2024","668093447032148","568","Low Risk"
"8206","54","Self-Employed","9091089","713","50000","Home","3","1","0","0","627","Australia","4/18/2023","5499891157154","568","Low Risk"
